MIDWEST GRAIN FUTURES 11:31 EDT|MINNEAPOLIS WHEAT MAY7 285 UP 1 1/2 JUL7 281 UP 1/4 SEP7 277 UP 1 DEC7 -- -- MAR8 -- --
WORLD SUGAR FUTURES RALLY LATE, SETTLE HIGHER|World sugar futures settled higher, strengthening late on shortcovering and technically-based buying, analysts said. The rally gained momentum "when traders realized they could get a key reversal," a commission house analyst said. But the market showed signs of continued resistance near 7.0 cents basis May, he noted. May delivery exceeded yesterday's low and yesterday's high before settling at 6.94 cents a lb, up 0.15 cent. Values tumbled this morning when computer fund selling triggered sell-stops at 6.60 cents and under. But contracts recouped most of those losses by midsession on trade buying, brokers said. Estimated volume was 20,339 lots. Reuter
KUWAIT ASKS TO USE FOREIGN FLAG TANKERS, U.S SAYS|Kuwait has asked at least four countries, including the United States, Soviet Union, Britain and China, for temporary use of their flags or tankers to protect Kuwaiti oil shipments in the troubled Persian Gulf, Reagan Administration officials said. The officials confirmed a New York Times report that Kuwait wants to transfer some of its oil tankers to U.S. or Soviet registration in hopes Iran would be reluctant to launch new "Silkworm" missiles at superpower flags. The United States has vowed to keep the gulf open to international oil traffic and has warned Tehran against using the Chinese-made missiles recently installed in Iran near the mouth of the gulf. "They (the Kuwaitis) have also asked Britain, China and possibly some other European countries to lease tankers to carry their oil," one of the administration officials, who asked not to be identified, told Reuters. The United States is considering the request to temporarily transfer Kuwaiti ships to American registration, but such a move could create insurance and other problems, the officials said. U.S. defense officials told Reuters yesterday that Kuwait had decided for at least the time being not to accept a U.S. offer to use American warships to escort its tankers in the gulf, where both Iran and Iraq have been attacking shipping. Reuter
ANHEUSER-BUSCH JOINS BID FOR SAN MIGUEL|Anheuser-Busch Companies Inc <BUD.N> has joined several other foreign bidders for sequestered shares of the Philippines' largest food and beverage maker San Miguel Corp <SANM.MN>, the head of a government panel which controls the shares told Reuters. Ramon Diaz, Secretary of the Presidential Commission on Good Government (PCGG), said Anheuser-Busch had told the government it was interested in buying 14 mln "B" shares of San Miguel. He did not disclose the offered price. Diaz said Australian brewer Alan Bond's Bond Corp Holdings Ltd had offered 150 pesos per share for the "B" shares. Diaz said New York investment bank Allen and Co Inc had earlier said it was interested in buying all 38.1 mln sequestered shares. He told Reuters last month Elders IXL Ltd <ELXA.S>, the Melbourne-based brewing company, had also bid for the "B" shares. The Hong Kong Economic Journal last month quoted a spokesman of Australian stock broker Jacksons Ltd as saying that <Barwon Farmlands Ltd>, an Australian firm owned 30 pct by <Ariadne Australia Ltd>, was planning a Filipino branch in order to buy the entire block of 38.1 mln shares. Anheuser-Busch last year made a 150 mln dlr bid to buy <San Miguel Brewery Ltd>, a Hong Kong listed company which is 69.65 pct owned by <Neptunia Corp Ltd>, a San Miguel Corp subsidiary. The talks broke down last June after the two sides said they could not agree on the terms of the sale. REUTER
N.Z. UNEMPLOYMENT RATE 3.9 PCT IN DECEMBER QUARTER|New Zealand's unemployment rate was 3.9 pct of the workforce in the quarter ended December 31, unchanged from a revised 3.9 pct (preliminary 3.8 pct) in the previous quarter but slightly above 3.8 pct in the year-earlier quarter, the Statistics Department said. The Department, citing the Household Labour Force Survey, said in a statement the number of unemployed in October- December 1986 was 61,500 against 60,500 in the September quarter and 60,500 a year earlier. REUTER
THYSSEN UNIT TO COOPERATE WITH CANADIAN FIRM|Thyssen AG <THYH.F> unit Thyssen Guss AG, a metals group, said it had agreed to cooperate with Canadian firm <Cercast Inc> to manufacture fine casting products. Both companies would merge plants in the West German towns of Soest and Moers under a new company in which the two groups would have equal shares in a capital of three mln marks. A spokeswoman for Thyssen Industrie AG, which holds 100 pct of Thyssen Guss, said the joint-venture should produce turnover of an annual 40 mln marks. Thyssen Industrie is held 90 pct by Thyssen AG. REUTER
U.S. MINT SEEKING OFFERS ON COPPER, NICKEL|The U.S. Mint said it is seeking offers on 3,701,000 lbs of electrolytic copper and 629,000 lbs of electrolytic cut nickel cathodes or briquettes that it intends to purchase. It said both metals are for delivery in the week of May 11 to Olin Corp, East Alton, Ill. Offers for the copper are due by 1100 hrs EDT, April 21, while offers on the nickel are due at 1100 hrs EDT on April 14. The Mint said that firms, in submitting their offers, select to receive payment by standard check or be wire transfer. Awards are determined by whichever of the two methods is most cost advantageous, based on the cost of money at that time. The minimum acceptance periods for each solicitation is three calendar days for the copper and 10 calendar days for the nickel, the Mint said. Reuter
KANSAS CITY WHEAT MARGINALLY FIRMER AT MIDDAY|Hard wheat futures traded 1/4 cent higher to steady in light midsession trading as firm Chicago wheat futures and hopes for new export sales this week lent support, traders said. May stood 1/4 cent higher at 2.74 dlrs. Trading was light with little fresh direction in the market. Traders awaited results on Jordan's Export Bonus tender for hard wheat and Egypt's tender this week for flour. Staley bought July and the July/December spread traded at 7-1/2 cents, pit brokers said. Reuter
NYFE TO MOVE TO N.Y. COTTON EXCHANGE|The New York Futures Exchange will move its trading operations to the floor of the New York Cotton Exchange, NYFE president Lewis J. Horowitz and Cotton Exchange president Joseph O'Neill announced. NYFE will become an affiliate of the Cotton Exchange through a licensing agreement while remaining a wholly-owned subsidiary of the New York Stock Exchange. NYFE's trading floor and floor support staff will move to the Cotton Exchange, which is located in the Commodity Exchange Center at Four World Trade Center. The move should be completed by the first quarter of next year, a Cotton Exchange spokeswoman said. The plan was approved today by the board of the Cotton Exchange and previously by the New York Stock Exchange. The move will offer traders from both exchanges access to each other's contracts. Cotton exchange members will have trading rights to NYFE's New York Stock Exchange composite index futures and options contracts and its Commodity Research Bureau Index contract. NYFE members will have the opportunity to trade the Cotton Exchange's U.S. dollar index futures and options contracts and its European Currency Unit futures contract. They will not have trading rights to cotton and frozen concentrated orange juice futures. Reuter
ARTISTIC GREETINGS <ARTG> SEES RECOVERY IN NET|Artistic Greetings Inc said it expects a rebound in profits and an increase in sales in 1987 as costs connected with computerization, staffing, traning and catalog sales start to taper off. Today it reported 1986 earnings of 294,650 dlrs, down from 371,064 dlrs a year before, on revenues of 8,157,864 dlrs, up from 7,054,709 dlrs. Reuter
TEXTRON <TXT> PLANS SALE OF AVCO DIVISION|Textron Inc said it plans to sell its Avco Specialty Materials Division as part of its debt reduction and restructuring. The company said it will use proceeds from the sale to reduce the debt incurred by its acquisition of Ex-Cell-O Corp last year. Textron said Morgan Stanley and Co will represent it in the sale. Reuter
AMERICAN AGRONOMICS CORP <AGR> 2ND QTR FEB 28|Shr profit one cts vs loss three cts Net profit 641,000 vs loss 992,000 Revs 26.0 mln vs 19.0 mln Six months Shr profit six cts vs loss six cts Net profit 2.8 mln vs loss 1.8 mln Revs 39.0 mln vs 37.4 mln NOTE:1987 six months includes gain of four cts from change in accounting principle. Reuter
WALL STREET STOCKS/AUTOMAKERS|Shares of Detroit automakers rose sharply in active trading as investors scrambled to accumulate the stocks in anticipation of postive announcements by Ford Motor Co <F> and General Motors Corp <GM> at meetings to be held at the end of the week, traders said. General Motors gained two points to 83-1/2 and Ford one to 91-1/8. Chrysler Corp <C>, which is not expected to make any major announcements this week, rose 1/4 to 58-1/2. "There is a little mystery coming at the end of the week for the automakers," one trader said, "and in a bull market, investors don't mind the mystery so much." Yesterday, GM's stock climbed 1-3/4 points on expectations that the company might disclose some bullish news at a meeting before analysts on April 9-10. A GM spokesman had no comment on the meeting. GM chairman Roger Smith is expected to attend the meeting, along with GM president James McDonald and other senior GM executives. "The stock could be moving up just on the proximity of the meeting, thinking GM will say something positive," analyst Philip Fricke of Goldman Sachs said. Though he maintains a buy recommendation on GM, Fricke said he cut 1987 earnings estimates for the company by 50 cts a share to 7.30 dlrs a share because of the costs of incentive programs. The company earned 8.21 dlrs a share in 1986. Monday, Ford closed 2-5/8 points higher as rumors circulated that the company would announce a higher dividend and a three-for-two stock split at it Thursday board meeting. A Ford spokesman said, "it is likely they will have a dividend announcement." He said it is a board policy to make a dividend announcement at the first board meeting of the quarter, but he would not comment on any plans for a change in the dividend or a stock split. Reuter
